Species,11/08/2014,11/15/2014,11/27/2014,12/06/2014,12/13/2014,12/20/2014,12/27/2014,01/03/ 2015,01/17/2015,01/24/2015,01/31/2015,02/07/2015,02/21/2015,02/28/2015,03/07/2015,03/14/ 2015,03/21/2015,03/28/2015
Northern Harrier,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sharp-shinned Hawk,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cooper's Hawk,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
Mourning Dove,2,2,25,3,50,13,0,9,32,12,28,26,12,18,14,11,3,2
Red-bellied Woodpecker,3,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2
Downy Woodpecker,3,2,2,2,3,1,3,3,2,2,2,2,2,2,1,2,2,2
Hairy Woodpecker,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,2
Pileated Woodpecker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Jay,5,2,2,3,4,2,4,3,4,11,8,9,8,11,18,11,11,11
American Crow,0,0,3,0,2,0,0,0,0,4,4,1,0,1,2,1,2,1
Black-capped Chickadee,2,3,2,5,4,4,3,2,2,3,3,3,2,2,2,3,3,1
Tufted Titmouse,3,2,4,5,6,4,4,3,1,1,3,2,5,3,3,3,2,1
White-breasted Nuthatch,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2
Carolina Wren,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Eastern Bluebird,0,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0
American Robin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
European Starling,0,0,0,0,1,2,0,0,0,4,4,2,1,1,1,2,1,12
American Tree Sparrow,0,0,4,2,9,4,0,0,7,6,7,8,7,9,9,9,4,9
Song Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
White-crowned Sparrow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark-eyed Junco,8,16,22,13,21,11,15,9,12,15,15,19,14,19,20,21,20,13
Northern Cardinal,2,2,2,3,3,3,2,4,4,7,7,6,12,11,7,5,6,3
Red-winged Blackbird,20,10,1,0,0,0,0,0,0,0,0,0,0,0,0,3,16,75
Rusty Blackbird,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Grackle,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,110
Brown-headed Cowbird,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,6,9
House Finch,6,10,7,8,6,24,12,4,4,6,4,2,6,1,3,3,7,1
Common Redpoll,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0
Pine Siskin,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
American Goldfinch,48,24,22,24,10,43,11,20,34,20,42,37,42,49,46,10,20,15
House Sparrow,5,7,5,1,2,3,2,4,2,2,2,3,5,12,4,4,2,1
