Species,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Mourning Dove,Red-bellied Woodpecker,Downy Woodpecker,Hairy Woodpecker,Pileated Woodpecker,Blue Jay,American Crow,Black-capped Chickadee,Tufted Titmouse,White-breasted Nuthatch,Carolina Wren,Eastern Bluebird,American Robin,European Starling,American Tree Sparrow,Song Sparrow,White-crowned Sparrow,Dark-eyed Junco,Northern Cardinal,Red-winged Blackbird,Rusty Blackbird,Common Grackle,Brown-headed Cowbird,House Finch,Common Redpoll,Pine Siskin,American Goldfinch,House Sparrow
11/08/2014,2,0,0,2,3,3,1,1,5,0,2,3,2,1,0,0,0,0,0,1,8,2,20,0,120,0,6,0,0,48,5
11/15/2014,0,2,0,2,1,2,1,0,2,0,3,2,2,1,1,0,0,0,0,0,16,2,10,1,3,3,10,0,2,24,7
11/27/2014,0,0,1,25,1,2,1,0,2,3,2,4,2,1,0,0,0,4,0,0,22,2,1,0,0,1,7,0,0,22,5
12/06/2014,0,1,1,3,1,2,1,0,3,0,5,5,1,1,0,0,0,2,0,0,13,3,0,0,0,0,8,0,0,24,1
12/13/2014,0,0,1,50,1,3,1,0,4,2,4,6,2,1,0,0,1,9,0,0,21,3,0,0,0,0,6,0,0,10,2
12/20/2014,0,0,0,13,1,1,1,0,2,0,4,4,2,0,1,0,2,4,0,0,11,3,0,0,0,0,24,3,0,43,3
12/27/2014,1,1,0,0,1,3,1,0,4,0,3,4,1,1,0,0,0,0,0,0,15,2,0,0,0,0,12,0,0,11,2
01/03/ 2015,0,0,0,9,1,3,1,0,3,0,2,3,2,0,0,0,0,0,0,0,9,4,0,0,0,0,4,0,0,20,4
01/17/2015,0,0,1,32,2,2,1,0,4,0,2,1,2,0,0,0,0,7,0,0,12,4,0,0,0,0,4,0,0,34,2
01/24/2015,0,0,0,12,1,2,1,0,11,4,3,1,2,0,4,0,4,6,0,0,15,7,0,0,0,0,6,0,0,20,2
01/31/2015,0,0,1,28,1,2,0,0,8,4,3,3,2,0,0,0,4,7,0,0,15,7,0,0,0,0,4,1,0,42,2
02/07/2015,0,0,0,26,1,2,1,0,9,1,3,2,2,0,0,0,2,8,0,0,19,6,0,0,0,0,2,1,0,37,3
02/21/2015,0,0,0,12,2,2,1,0,8,0,2,5,2,0,1,0,1,7,0,0,14,12,0,0,0,0,6,0,1,42,5
02/28/2015,0,0,1,18,1,2,0,0,11,1,2,3,2,0,0,0,1,9,0,0,19,11,0,0,0,0,1,0,0,49,12
03/07/2015,0,0,1,14,2,1,1,0,18,2,2,3,1,0,0,0,1,9,0,0,20,7,0,0,0,1,3,0,0,46,4
03/14/ 2015,0,0,0,11,1,2,1,0,11,1,3,3,2,0,0,0,2,9,0,0,21,5,3,0,0,2,3,0,0,10,4
03/21/2015,0,0,0,3,1,2,0,0,11,2,3,2,2,0,0,1,1,4,2,0,20,6,16,0,140,6,7,0,0,20,2
03/28/2015,0,0,0,2,2,2,2,0,11,1,1,1,2,0,0,0,12,9,8,0,13,3,75,0,110,9,1,0,0,15,1
